名稱,類別,基礎ATK/DEF,基礎穩定度,屬性分類,屬性名稱,屬性值1,屬性值2,說明
1周年寶劍,單手劍,29,80,stats,str,1%,,
,,,,,atk,1%,,
,,,,,magic_resistance,6,,
,,,,,attack_mp_recovery,2,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,1,,
,,,,,item_difficulty,25,,
,,,,,cost,10,,
,,,,,potential,19,,
,,,,,materials,1周年銅牌#20,,
1周年寶劍 II,單手劍,55,80,stats,str,2%,,
,,,,,atk,2%,,
,,,,,magic_resistance,9,,
,,,,,attack_mp_recovery,4,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,25,,
,,,,,item_difficulty,50,,
,,,,,cost,100,,
,,,,,potential,23,,
,,,,,materials,1周年銀牌#20,,
1周年寶劍 III,單手劍,87,80,stats,str,3%,,
,,,,,atk,3%,,
,,,,,magic_resistance,12,,
,,,,,attack_mp_recovery,6,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,50,,
,,,,,item_difficulty,70,,
,,,,,cost,1000,,
,,,,,potential,27,,
,,,,,materials,1周年金牌#20,,
2周年寶劍,單手劍,29,80,stats,str,1%,,
,,,,,atk,1%,,
,,,,,magic_resistance,6,,
,,,,,attack_mp_recovery,2,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,1,,
,,,,,item_difficulty,25,,
,,,,,cost,10,,
,,,,,potential,19,,
,,,,,materials,2周年銅牌#20,,
2周年寶劍 II,單手劍,55,80,stats,str,2%,,
,,,,,atk,2%,,
,,,,,magic_resistance,9,,
,,,,,attack_mp_recovery,4,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,25,,
,,,,,item_difficulty,50,,
,,,,,cost,100,,
,,,,,potential,23,,
,,,,,materials,2周年銀牌#20,,
2周年寶劍 III,單手劍,87,80,stats,str,3%,,
,,,,,atk,3%,,
,,,,,magic_resistance,12,,
,,,,,attack_mp_recovery,6,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,50,,
,,,,,item_difficulty,75,,
,,,,,cost,1000,,
,,,,,potential,27,,
,,,,,materials,2周年金牌#20,,
2周年寶劍 IV,單手劍,117,80,stats,str,4%,,
,,,,,atk,4%,,
,,,,,magic_resistance,15,,
